year,date,platform,native_resolution_m,selected_month,is_fallback_month,scene_cloud_cover_percent,local_clear_fraction,local_valid_fraction,selection_quality_score,status,item_id
1990,1990-05-02,landsat-5,30,5,False,1.0,1.0,1.0,0.9995,ok,LT05_L2SP_190023_19900502_02_T1
1991,1991-05-30,landsat-5,30,5,False,14.0,0.941635,1.0,0.953896,ok,LT05_L2SP_189023_19910530_02_T1
1992,1992-05-16,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_19920516_02_T1
1993,1993-05-10,landsat-5,30,5,False,6.0,1.0,1.0,0.997,ok,LT05_L2SP_190023_19930510_02_T1
1994,1994-05-06,landsat-5,30,5,False,4.0,1.0,1.0,0.998,ok,LT05_L2SP_189023_19940506_02_T1
1995,1995-04-23,landsat-5,30,4,True,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_19950423_02_T1
1996,1996-05-27,landsat-5,30,5,False,48.0,0.999777,1.0,0.975851,ok,LT05_L2SP_189023_19960527_02_T1
1997,1997-04-19,landsat-5,30,4,True,65.0,0.801738,1.0,0.834664,ok,LT05_L2SP_190023_19970419_02_T1
1998,1998-05-17,landsat-5,30,5,False,11.0,1.0,1.0,0.9945,ok,LT05_L2SP_189023_19980517_02_T1
1999,1999-05-20,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_19990520_02_T1
2000,2000-05-13,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_190023_20000513_02_T1
2001,2001-05-08,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_190023_20010508_02_T1
2002,2002-05-04,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_189023_20020504_02_T1
2003,2003-05-30,landsat-7,30,5,False,0.0,1.0,1.0,0.95,ok,LE07_L2SP_190023_20030530_02_T1
2004,2004-05-01,landsat-5,30,5,False,2.0,1.0,1.0,0.999,ok,LT05_L2SP_189023_20040501_02_T1
2005,2005-05-20,landsat-5,30,5,False,4.0,1.0,1.0,0.998,ok,LT05_L2SP_189023_20050520_02_T1
2006,2006-05-07,landsat-5,30,5,False,5.0,0.999777,1.0,0.997351,ok,LT05_L2SP_189023_20060507_02_T1
2007,2007-05-01,landsat-5,30,5,False,76.0,0.925373,1.0,0.912,ok,LT05_L2SP_190023_20070501_02_T2
2008,2008-05-28,landsat-5,30,5,False,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20080528_02_T1
2009,2009-05-15,landsat-5,30,5,False,8.0,0.773001,1.0,0.84391,ok,LT05_L2SP_189023_20090515_02_T1
2010,2010-06-18,landsat-7,30,6,True,2.0,1.0,0.788594,0.939806,ok,LE07_L2SP_190023_20100618_02_T1
2011,2011-04-19,landsat-5,30,4,True,0.0,1.0,1.0,0.95,ok,LT05_L2SP_189023_20110419_02_T1
2012,2012-05-22,landsat-7,30,5,False,4.0,1.0,0.757184,0.930012,ok,LE07_L2SP_190023_20120522_02_T1
2013,2013-05-17,landsat-8,30,5,False,19.49,1.0,1.0,0.990255,ok,LC08_L2SP_190023_20130517_02_T1
2014,2014-05-20,landsat-8,30,5,False,10.13,0.976164,1.0,0.978965,ok,LC08_L2SP_190022_20140520_02_T1
2015,2015-05-07,landsat-8,30,5,False,5.64,1.0,1.0,0.99718,ok,LC08_L2SP_190023_20150507_02_T1
2016,2016-05-23,Sentinel-2A,10,5,False,0.460278,1.0,1.0,1.02477,ok,S2A_MSIL2A_20160523T095032_R079_T33UYV_20210211T133807
2017,2017-05-18,Sentinel-2A,10,5,False,0.055662,1.0,1.0,1.024972,ok,S2A_MSIL2A_20170518T095031_R079_T34UCE_20210209T162325
2018,2018-05-08,Sentinel-2B,10,5,False,0.059469,1.0,1.0,1.02497,ok,S2B_MSIL2A_20180508T095029_R079_T34UCE_20201012T072713
2019,2019-05-01,Sentinel-2A,10,5,False,2.765254,1.0,1.0,1.023617,ok,S2A_MSIL2A_20190501T100031_R122_T33UYV_20201006T083634
2020,2020-05-07,Sentinel-2B,10,5,False,7.85342,0.9957,1.0,1.018192,ok,S2B_MSIL2A_20200507T095029_R079_T33UYV_20200920T222553
2021,2021-05-12,Sentinel-2B,10,5,False,0.104802,0.9999,1.0,1.024881,ok,S2B_MSIL2A_20210512T095029_R079_T34UCE_20210606T070040
2022,2022-05-10,Sentinel-2B,10,5,False,24.608648,1.0,1.0,1.012696,ok,S2B_MSIL2A_20220510T100029_R122_T33UYV_20240612T220829
2023,2023-05-30,Sentinel-2A,10,5,False,0.739762,1.0,1.0,1.02463,ok,S2A_MSIL2A_20230530T100031_R122_T33UYV_20230530T153352
2024,2024-05-01,Sentinel-2A,10,5,False,0.510306,1.0,1.0,1.024745,ok,S2A_MSIL2A_20240501T095031_R079_T33UYV_20240501T154122
2025,2025-05-06,Sentinel-2C,10,5,False,0.252054,1.0,1.0,1.024874,ok,S2C_MSIL2A_20250506T095051_R079_T33UYV_20250506T121455
2026,2026-05-01,Sentinel-2C,10,5,False,0.000367,1.0,1.0,1.025,ok,S2C_MSIL2A_20260501T095031_R079_T33UYV_20260501T132213
